ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
01,1018.5,1021.7,18.6,16.6,88,1.5,20,3.0,30,0.0,0.0,...,0.00,...,0,...
02,1018.1,1021.3,18.4,16.5,89,1.4,30,3.1,40,0.0,0.0,...,0.00,1.5,0,0.0
03,1017.6,1020.8,18.2,16.5,90,1.1,30,2.9,60,0.0,0.0,...,0.00,...,0,...
04,1017.4,1020.6,18.2,16.5,90,1.3,330,1.9,30,0.0,0.0,...,0.00,...,0,...
05,1017.6,1020.8,17.9,16.2,90,0.1,0,2.0,350,0.0,0.0,...,0.00,1.0,0,0.0
06,1018.1,1021.3,18.1,16.4,90,0.8,80,1.3,80,0.0,0.0,0.0,0.00,...,0,...
07,1018.6,1021.8,18.2,16.5,90,1.0,100,2.0,90,0.0,0.0,0.0,0.00,...,0,...
08,1019.4,1022.6,19.1,17.8,92,0.0,0,1.5,110,0.0,0.0,0.5,0.23,2.0,0,1.0
09,1019.5,1022.7,20.8,18.2,85,0.9,110,1.6,110,0.0,0.0,1.0,0.75,2.0,1,0.0
10,1019.4,1022.6,22.7,18.4,77,0.2,0,1.9,70,0.0,0.0,1.0,1.46,...,2,...
11,1018.6,1021.7,23.6,18.2,72,1.1,320,2.5,280,0.0,0.0,1.0,1.81,3.0,3,0.0
12,1017.5,1020.6,24.7,18.0,66,1.4,270,3.5,280,0.0,0.0,1.0,2.17,...,4,...
13,1016.8,1019.9,24.8,18.0,66,2.7,320,4.8,320,0.0,0.0,1.0,2.38,...,5,...
14,1016.0,1019.1,25.0,18.8,68,2.9,320,6.2,310,0.0,0.0,1.0,1.91,3.0,4,1.0
15,1015.5,1018.6,25.2,18.6,67,2.0,320,5.1,320,0.0,0.0,1.0,1.49,...,2,...
16,1015.5,1018.6,24.2,17.8,67,2.7,330,5.3,320,0.0,0.0,1.0,0.96,...,1,...
17,1015.7,1018.8,22.8,17.6,72,2.9,360,5.3,320,0.0,0.0,0.4,0.33,3.0,0,4.0
18,1016.2,1019.4,21.9,17.8,78,1.3,360,4.4,20,0.0,0.0,0.0,0.00,...,0,...
19,1016.9,1020.1,21.2,17.7,80,2.8,10,4.5,20,0.0,0.0,0.0,0.00,...,0,...
20,1017.5,1020.7,20.3,17.0,81,2.8,20,6.0,10,0.0,0.0,...,0.00,3.0,0,0.0
21,1017.8,1021.0,19.6,16.9,84,3.1,10,6.3,30,0.0,0.0,...,0.00,3.0,0,4.0
22,1017.8,1021.0,19.3,16.9,86,2.4,30,5.5,20,0.0,0.0,...,0.00,...,0,...
23,1017.7,1020.9,19.2,17.2,88,2.9,10,5.2,10,0.0,0.0,...,0.00,1.5,0,8.0
24,1017.6,1020.8,19.1,17.2,89,3.0,20,5.5,30,0.0,0.0,...,0.00,...,0,...
01,1017.6,1020.8,19.2,17.3,89,2.9,20,5.3,30,0.0,0.0,...,0.00,...,0,...
02,1017.4,1020.6,19.4,17.3,88,2.0,10,5.2,20,0.0,0.0,...,0.00,1.5,0,8.0
03,1016.9,1020.1,19.2,17.0,87,2.0,30,4.7,40,0.0,0.0,...,0.00,...,0,...
04,1016.7,1019.9,19.2,16.9,87,1.1,60,3.8,60,0.0,0.0,...,0.00,...,0,...
05,1016.7,1019.9,19.0,17.1,89,1.2,30,3.4,30,0.0,0.0,...,0.00,1.5,0,7.0
06,1017.2,1020.4,18.6,17.1,91,3.1,30,4.5,40,0.0,0.0,0.0,0.00,...,0,...
07,1017.6,1020.8,18.6,17.1,91,2.4,30,5.1,60,0.0,0.0,0.0,0.00,...,0,...
08,1018.2,1021.4,19.1,17.6,91,1.4,30,4.2,30,0.0,0.0,0.1,0.18,0.8,0,6.0
09,1018.7,1021.9,20.9,17.9,83,2.5,30,5.3,20,0.0,0.0,1.0,0.81,2.0,1,2.0
